decklist_id,card_id,quantity,code,title,type_code,faction_code,side_code,pack_code
91843,26068,3,26068,Devil Charm,hardware,anarch,runner,ur
91843,30004,3,30004,Botulus,program,anarch,runner,sg
91843,30007,3,30007,Fermenter,program,anarch,runner,sg
91843,30008,2,30008,Leech,program,anarch,runner,sg
91843,30009,1,30009,Cookbook,resource,anarch,runner,sg
91843,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91843,33008,1,33008,Avgustina Ivanovskaya,resource,anarch,runner,ms
91843,33030,1,33030,Stoneship Chart Room,resource,shaper,runner,ms
91843,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91843,34003,1,34003,Solidarity Badge,hardware,anarch,runner,tai
91843,34007,1,34007,Eru Ayase-Pessoa,resource,anarch,runner,tai
91843,34008,1,34008,"Hannah ""Wheels"" Pilintra",resource,anarch,runner,tai
91843,34066,1,34066,Sebastião Souza Pessoa: Activist Organizer,identity,anarch,runner,rwr
91843,34068,3,34068,Privileged Access,event,anarch,runner,rwr
91843,34073,3,34073,Arruaceiras Crew,resource,anarch,runner,rwr
91843,34074,3,34074,Friend of a Friend,resource,anarch,runner,rwr
91843,34075,1,34075,Manuel Lattes de Moura,resource,anarch,runner,rwr
91843,34080,1,34080,Cupellation,program,criminal,runner,rwr
91843,35007,1,35007,Gourmand,program,anarch,runner,elev
91843,35010,1,35010,Cacophony,resource,anarch,runner,elev
91843,35028,2,35028,Madani,hardware,shaper,runner,elev
91130,26012,3,26012,Blueberry!™ Diesel,event,criminal,runner,df
91130,26022,3,26022,Spec Work,event,shaper,runner,df
91130,26074,3,26074,Bravado,event,criminal,runner,ur
91130,26075,1,26075,Boomerang,hardware,criminal,runner,ur
91130,26077,2,26077,Prognostic Q-Loop,hardware,criminal,runner,ur
91130,26085,2,26085,Simulchip,hardware,shaper,runner,ur
91130,30010,1,30010,Zahya Sadeghi: Versatile Smuggler,identity,criminal,runner,sg
91130,30013,2,30013,Docklands Pass,hardware,criminal,runner,sg
91130,30015,1,30015,Carmen,program,criminal,runner,sg
91130,30016,3,30016,Marjanah,program,criminal,runner,sg
91130,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91130,33017,2,33017,Cezve,program,criminal,runner,ms
91130,33018,1,33018,Revolver,program,criminal,runner,ms
91130,33078,1,33078,WAKE Implant v2A-JRJ,hardware,criminal,runner,ph
91130,34018,2,34018,Shibboleth,program,criminal,runner,tai
91130,34023,2,34023,LilyPAD,hardware,shaper,runner,tai
91130,34080,2,34080,Cupellation,program,criminal,runner,rwr
91130,34082,2,34082,Physarum Entangler,program,criminal,runner,rwr
91130,35009,1,35009,Rising Tide,program,anarch,runner,elev
91130,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91130,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91845,26022,2,26022,Spec Work,event,shaper,runner,df
91845,26083,1,26083,Harmony AR Therapy,event,shaper,runner,ur
91845,26085,3,26085,Simulchip,hardware,shaper,runner,ur
91845,26090,1,26090,Self-modifying Code,program,shaper,runner,ur
91845,30022,2,30022,DZMZ Optimizer,hardware,shaper,runner,sg
91845,30024,1,30024,Conduit,program,shaper,runner,sg
91845,30025,1,30025,Echelon,program,shaper,runner,sg
91845,30026,1,30026,Unity,program,shaper,runner,sg
91845,30029,2,30029,Overclock,event,neutral-runner,runner,sg
91845,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91845,33017,2,33017,Cezve,program,criminal,runner,ms
91845,33020,2,33020,No Free Lunch,resource,criminal,runner,ms
91845,33027,3,33027,Propeller,program,shaper,runner,ms
91845,33029,2,33029,Environmental Testing,resource,shaper,runner,ms
91845,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91845,34020,1,34020,Arissana Rocha Nahu: Street Artist,identity,shaper,runner,tai
91845,34023,2,34023,LilyPAD,hardware,shaper,runner,tai
91845,34080,1,34080,Cupellation,program,criminal,runner,rwr
91845,34082,1,34082,Physarum Entangler,program,criminal,runner,rwr
91845,34085,2,34085,Burner,event,shaper,runner,rwr
91845,34089,3,34089,Coalescence,program,shaper,runner,rwr
91845,34091,3,34091,Muse,program,shaper,runner,rwr
91845,35009,1,35009,Rising Tide,program,anarch,runner,elev
91845,35026,3,35026,Ritual,event,shaper,runner,elev
91130,26012,3,26012,Blueberry!™ Diesel,event,criminal,runner,df
91130,26022,3,26022,Spec Work,event,shaper,runner,df
91130,26074,3,26074,Bravado,event,criminal,runner,ur
91130,26075,1,26075,Boomerang,hardware,criminal,runner,ur
91130,26077,2,26077,Prognostic Q-Loop,hardware,criminal,runner,ur
91130,26085,2,26085,Simulchip,hardware,shaper,runner,ur
91130,30010,1,30010,Zahya Sadeghi: Versatile Smuggler,identity,criminal,runner,sg
91130,30013,2,30013,Docklands Pass,hardware,criminal,runner,sg
91130,30015,1,30015,Carmen,program,criminal,runner,sg
91130,30016,3,30016,Marjanah,program,criminal,runner,sg
91130,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91130,33017,2,33017,Cezve,program,criminal,runner,ms
91130,33018,1,33018,Revolver,program,criminal,runner,ms
91130,33078,1,33078,WAKE Implant v2A-JRJ,hardware,criminal,runner,ph
91130,34018,2,34018,Shibboleth,program,criminal,runner,tai
91130,34023,2,34023,LilyPAD,hardware,shaper,runner,tai
91130,34080,2,34080,Cupellation,program,criminal,runner,rwr
91130,34082,2,34082,Physarum Entangler,program,criminal,runner,rwr
91130,35009,1,35009,Rising Tide,program,anarch,runner,elev
91130,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91130,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91852,26018,2,26018,The Class Act,resource,criminal,runner,df
91852,26074,3,26074,Bravado,event,criminal,runner,ur
91852,27001,2,27001,Mystic Maemi,resource,anarch,runner,urbp
91852,30012,1,30012,Tread Lightly,event,criminal,runner,sg
91852,30015,1,30015,Carmen,program,criminal,runner,sg
91852,30016,1,30016,Marjanah,program,criminal,runner,sg
91852,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91852,33010,2,33010,The Twinning,resource,anarch,runner,ms
91852,33012,3,33012,Carpe Diem,event,criminal,runner,ms
91852,33013,3,33013,Pinhole Threading,event,criminal,runner,ms
91852,33017,3,33017,Cezve,program,criminal,runner,ms
91852,33020,1,33020,No Free Lunch,resource,criminal,runner,ms
91852,33076,2,33076,Reprise,event,criminal,runner,ph
91852,33092,1,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91852,33094,6,33094,Matryoshka,program,neutral-runner,runner,ph
91852,34012,3,34012,S-Dobrado,event,criminal,runner,tai
91852,34014,2,34014,Hermes,hardware,criminal,runner,tai
91852,34030,3,34030,Bahia Bands,event,neutral-runner,runner,tai
91852,34077,1,34077,Window of Opportunity,event,criminal,runner,rwr
91852,35013,1,35013,MuslihaT: Multifarious Marketeer,identity,criminal,runner,elev
91852,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91852,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91847,26068,2,26068,Devil Charm,hardware,anarch,runner,ur
91847,26093,1,26093,Buffer Drive,hardware,neutral-runner,runner,ur
91847,30004,3,30004,Botulus,program,anarch,runner,sg
91847,30007,2,30007,Fermenter,program,anarch,runner,sg
91847,30008,1,30008,Leech,program,anarch,runner,sg
91847,33004,3,33004,Steelskin Scarring,event,anarch,runner,ms
91847,34001,3,34001,Strike Fund,event,anarch,runner,tai
91847,34003,3,34003,Solidarity Badge,hardware,anarch,runner,tai
91847,34004,2,34004,Audrey v2,program,anarch,runner,tai
91847,34008,1,34008,"Hannah ""Wheels"" Pilintra",resource,anarch,runner,tai
91847,34009,3,34009,Lago Paranoá Shelter,resource,anarch,runner,tai
91847,34066,1,34066,Sebastião Souza Pessoa: Activist Organizer,identity,anarch,runner,rwr
91847,34068,3,34068,Privileged Access,event,anarch,runner,rwr
91847,34069,3,34069,Amanuensis,hardware,anarch,runner,rwr
91847,34073,3,34073,Arruaceiras Crew,resource,anarch,runner,rwr
91847,34074,3,34074,Friend of a Friend,resource,anarch,runner,rwr
91847,34075,1,34075,Manuel Lattes de Moura,resource,anarch,runner,rwr
91847,34094,1,34094,Ashen Epilogue,event,neutral-runner,runner,rwr
91847,34095,1,34095,Valentina Ferreira Carvalho,resource,neutral-runner,runner,rwr
91847,35007,3,35007,Gourmand,program,anarch,runner,elev
91847,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91854,26018,3,26018,The Class Act,resource,criminal,runner,df
91854,26074,3,26074,Bravado,event,criminal,runner,ur
91854,26075,2,26075,Boomerang,hardware,criminal,runner,ur
91854,27001,1,27001,Mystic Maemi,resource,anarch,runner,urbp
91854,30011,1,30011,Mutual Favor,event,criminal,runner,sg
91854,30015,1,30015,Carmen,program,criminal,runner,sg
91854,30026,1,30026,Unity,program,shaper,runner,sg
91854,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91854,33010,1,33010,The Twinning,resource,anarch,runner,ms
91854,33011,1,33011,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",identity,criminal,runner,ms
91854,33012,3,33012,Carpe Diem,event,criminal,runner,ms
91854,33013,3,33013,Pinhole Threading,event,criminal,runner,ms
91854,33016,1,33016,Cat's Cradle,program,criminal,runner,ms
91854,33017,2,33017,Cezve,program,criminal,runner,ms
91854,33018,1,33018,Revolver,program,criminal,runner,ms
91854,33020,1,33020,No Free Lunch,resource,criminal,runner,ms
91854,33030,2,33030,Stoneship Chart Room,resource,shaper,runner,ms
91854,33092,2,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91854,34014,2,34014,Hermes,hardware,criminal,runner,tai
91854,34015,2,34015,Curupira,program,criminal,runner,tai
91854,34019,1,34019,"Debbie ""Downtown"" Moreira",resource,criminal,runner,tai
91854,34022,1,34022,AirbladeX (JSRF Ed.),hardware,shaper,runner,tai
91854,34030,1,34030,Bahia Bands,event,neutral-runner,runner,tai
91854,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91854,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91854,35022,3,35022,Open Market,resource,criminal,runner,elev
91887,26007,1,26007,Fencer Fueno,resource,anarch,runner,df
91887,26018,2,26018,The Class Act,resource,criminal,runner,df
91887,26074,3,26074,Bravado,event,criminal,runner,ur
91887,26075,2,26075,Boomerang,hardware,criminal,runner,ur
91887,27001,1,27001,Mystic Maemi,resource,anarch,runner,urbp
91887,30011,2,30011,Mutual Favor,event,criminal,runner,sg
91887,30015,1,30015,Carmen,program,criminal,runner,sg
91887,30026,1,30026,Unity,program,shaper,runner,sg
91887,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91887,33010,1,33010,The Twinning,resource,anarch,runner,ms
91887,33011,1,33011,"Nyusha ""Sable"" Sintashta: Symphonic Prodigy",identity,criminal,runner,ms
91887,33012,3,33012,Carpe Diem,event,criminal,runner,ms
91887,33013,2,33013,Pinhole Threading,event,criminal,runner,ms
91887,33017,2,33017,Cezve,program,criminal,runner,ms
91887,33020,1,33020,No Free Lunch,resource,criminal,runner,ms
91887,33078,1,33078,WAKE Implant v2A-JRJ,hardware,criminal,runner,ph
91887,33092,2,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91887,34008,1,34008,"Hannah ""Wheels"" Pilintra",resource,anarch,runner,tai
91887,34014,2,34014,Hermes,hardware,criminal,runner,tai
91887,34015,1,34015,Curupira,program,criminal,runner,tai
91887,34030,1,34030,Bahia Bands,event,neutral-runner,runner,tai
91887,34078,1,34078,Alarm Clock,hardware,criminal,runner,rwr
91887,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91887,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91887,35022,3,35022,Open Market,resource,criminal,runner,elev
91887,35034,2,35034,Side Hustle,resource,neutral-runner,runner,elev
91849,26074,3,26074,Bravado,event,criminal,runner,ur
91849,27001,1,27001,Mystic Maemi,resource,anarch,runner,urbp
91849,30011,1,30011,Mutual Favor,event,criminal,runner,sg
91849,30012,1,30012,Tread Lightly,event,criminal,runner,sg
91849,30015,1,30015,Carmen,program,criminal,runner,sg
91849,30016,1,30016,Marjanah,program,criminal,runner,sg
91849,30028,3,30028,Jailbreak,event,neutral-runner,runner,sg
91849,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91849,33010,1,33010,The Twinning,resource,anarch,runner,ms
91849,33012,3,33012,Carpe Diem,event,criminal,runner,ms
91849,33013,3,33013,Pinhole Threading,event,criminal,runner,ms
91849,33017,3,33017,Cezve,program,criminal,runner,ms
91849,33066,1,33066,Finality,event,anarch,runner,ph
91849,33076,2,33076,Reprise,event,criminal,runner,ph
91849,33094,6,33094,Matryoshka,program,neutral-runner,runner,ph
91849,34014,2,34014,Hermes,hardware,criminal,runner,tai
91849,34022,2,34022,AirbladeX (JSRF Ed.),hardware,shaper,runner,tai
91849,34030,2,34030,Bahia Bands,event,neutral-runner,runner,tai
91849,34085,1,34085,Burner,event,shaper,runner,rwr
91849,35013,1,35013,MuslihaT: Multifarious Marketeer,identity,criminal,runner,elev
91849,35014,3,35014,Clean Getaway,event,criminal,runner,elev
91849,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
91860,26022,2,26022,Spec Work,event,shaper,runner,df
91860,26083,1,26083,Harmony AR Therapy,event,shaper,runner,ur
91860,26085,3,26085,Simulchip,hardware,shaper,runner,ur
91860,26090,1,26090,Self-modifying Code,program,shaper,runner,ur
91860,30021,1,30021,VRcation,event,shaper,runner,sg
91860,30022,3,30022,DZMZ Optimizer,hardware,shaper,runner,sg
91860,30025,1,30025,Echelon,program,shaper,runner,sg
91860,30026,1,30026,Unity,program,shaper,runner,sg
91860,30029,2,30029,Overclock,event,neutral-runner,runner,sg
91860,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
91860,33027,3,33027,Propeller,program,shaper,runner,ms
91860,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
91860,34023,2,34023,LilyPAD,hardware,shaper,runner,tai
91860,34079,3,34079,Jeitinho,hardware,criminal,runner,rwr
91860,34082,1,34082,Physarum Entangler,program,criminal,runner,rwr
91860,34089,3,34089,Coalescence,program,shaper,runner,rwr
91860,34091,3,34091,Muse,program,shaper,runner,rwr
91860,35024,1,35024,Magdalene Keino-Chemutai: Cryptarchitect,identity,shaper,runner,elev
91860,35026,2,35026,Ritual,event,shaper,runner,elev
91860,35027,1,35027,GAMEDRAGON™ Pro,hardware,shaper,runner,elev
91860,35032,3,35032,Principia,program,shaper,runner,elev
91860,35033,3,35033,“Knickknack” O’Brian,resource,shaper,runner,elev
91796,26019,1,26019,Lat: Ethical Freelancer,identity,shaper,runner,df
