decklist_id,card_id,quantity,code,title,type_code,faction_code,side_code,pack_code
90931,26022,3,26022,Spec Work,event,shaper,runner,df
90931,26024,1,26024,Gauss,program,shaper,runner,df
90931,26085,3,26085,Simulchip,hardware,shaper,runner,ur
90931,26088,2,26088,Mantle,program,shaper,runner,ur
90931,26090,3,26090,Self-modifying Code,program,shaper,runner,ur
90931,30007,3,30007,Fermenter,program,anarch,runner,sg
90931,30022,3,30022,DZMZ Optimizer,hardware,shaper,runner,sg
90931,30025,1,30025,Echelon,program,shaper,runner,sg
90931,30026,1,30026,Unity,program,shaper,runner,sg
90931,30029,3,30029,Overclock,event,neutral-runner,runner,sg
90931,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
90931,33010,2,33010,The Twinning,resource,anarch,runner,ms
90931,33013,1,33013,Pinhole Threading,event,criminal,runner,ms
90931,33027,1,33027,Propeller,program,shaper,runner,ms
90931,33029,3,33029,Environmental Testing,resource,shaper,runner,ms
90931,33030,2,33030,Stoneship Chart Room,resource,shaper,runner,ms
90931,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
90931,34080,1,34080,Cupellation,program,criminal,runner,rwr
90931,34089,3,34089,Coalescence,program,shaper,runner,rwr
90931,34091,1,34091,Muse,program,shaper,runner,rwr
90931,35024,1,35024,Magdalene Keino-Chemutai: Cryptarchitect,identity,shaper,runner,elev
90931,35027,2,35027,GAMEDRAGON™ Pro,hardware,shaper,runner,elev
90931,35029,1,35029,Azimat,program,shaper,runner,elev
90855,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
90855,33010,1,33010,The Twinning,resource,anarch,runner,ms
90855,35016,1,35016,Maintenance Access,event,criminal,runner,elev
90855,34014,2,34014,Hermes,hardware,criminal,runner,tai
90855,35022,3,35022,Open Market,resource,criminal,runner,elev
90855,35019,1,35019,Maglectric Rapid (748 Mod),hardware,criminal,runner,elev
90855,26074,3,26074,Bravado,event,criminal,runner,ur
90855,30025,1,30025,Echelon,program,shaper,runner,sg
90855,26018,3,26018,The Class Act,resource,criminal,runner,df
90855,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
90855,30026,1,30026,Unity,program,shaper,runner,sg
90855,33017,2,33017,Cezve,program,criminal,runner,ms
90855,30011,1,30011,Mutual Favor,event,criminal,runner,sg
90855,26075,3,26075,Boomerang,hardware,criminal,runner,ur
90855,26072,1,26072,Mystic Maemi,resource,anarch,runner,ur
90855,34015,2,34015,Curupira,program,criminal,runner,tai
90855,33016,1,33016,Cat's Cradle,program,criminal,runner,ms
90855,33020,1,33020,No Free Lunch,resource,criminal,runner,ms
90855,30013,1,30013,Docklands Pass,hardware,criminal,runner,sg
90855,33018,1,33018,Revolver,program,criminal,runner,ms
90855,34022,1,34022,AirbladeX (JSRF Ed.),hardware,shaper,runner,tai
90855,33078,1,33078,WAKE Implant v2A-JRJ,hardware,criminal,runner,ph
90855,35014,3,35014,Clean Getaway,event,criminal,runner,elev
90855,33013,2,33013,Pinhole Threading,event,criminal,runner,ms
90855,35012,1,35012,Barry “Baz” Wong: Tri-Maf Veteran,identity,criminal,runner,elev
90855,35017,3,35017,Transfer of Wealth,event,criminal,runner,elev
90812,26022,3,26022,Spec Work,event,shaper,runner,df
90812,26069,3,26069,Gachapon,hardware,anarch,runner,ur
90812,26085,3,26085,Simulchip,hardware,shaper,runner,ur
90812,30022,2,30022,DZMZ Optimizer,hardware,shaper,runner,sg
90812,30030,3,30030,Sure Gamble,event,neutral-runner,runner,sg
90812,33013,1,33013,Pinhole Threading,event,criminal,runner,ms
90812,33021,1,33021,Captain Padma Isbister: Intrepid Explorer,identity,shaper,runner,ms
90812,33024,2,33024,Rigging Up,event,shaper,runner,ms
90812,33027,1,33027,Propeller,program,shaper,runner,ms
90812,33028,1,33028,"Daeg, First Net-Cat",resource,shaper,runner,ms
90812,33029,3,33029,Environmental Testing,resource,shaper,runner,ms
90812,33030,2,33030,Stoneship Chart Room,resource,shaper,runner,ms
90812,33089,1,33089,Orca,program,shaper,runner,ph
90812,33092,3,33092,Dr. Nuka Vrolyck,resource,shaper,runner,ph
