tournament_id,player,decklist_id,card_id,quantity,code,title,faction_code,side_code,type_code
5079,profwacko,91204,33030,2,33030,Stoneship Chart Room,shaper,runner,resource
5079,profwacko,91204,33092,3,33092,Dr. Nuka Vrolyck,shaper,runner,resource
5079,profwacko,91204,34020,1,34020,Arissana Rocha Nahu: Street Artist,shaper,runner,identity
5079,profwacko,91204,34022,1,34022,AirbladeX (JSRF Ed.),shaper,runner,hardware
5079,profwacko,91204,34026,2,34026,Slap Vandal,shaper,runner,program
5079,profwacko,91204,34082,1,34082,Physarum Entangler,criminal,runner,program
5079,profwacko,91204,34085,2,34085,Burner,shaper,runner,event
5079,profwacko,91204,34088,2,34088,Cataloguer,shaper,runner,hardware
5079,profwacko,91204,34091,3,34091,Muse,shaper,runner,program
5079,profwacko,91204,34092,1,34092,Pressure Spike,shaper,runner,program
5079,profwacko,91204,35017,2,35017,Transfer of Wealth,criminal,runner,event
5079,profwacko,91204,35026,3,35026,Ritual,shaper,runner,event
5079,profwacko,91204,35029,1,35029,Azimat,shaper,runner,program
5079,FreeRice,91784,26022,2,26022,Spec Work,shaper,runner,event
5079,FreeRice,91784,26029,2,26029,Rejig,neutral-runner,runner,event
5079,FreeRice,91784,26073,1,26073,Paladin Poemu,anarch,runner,resource
5079,FreeRice,91784,26085,3,26085,Simulchip,shaper,runner,hardware
5079,FreeRice,91784,26090,3,26090,Self-modifying Code,shaper,runner,program
5079,FreeRice,91784,30007,3,30007,Fermenter,anarch,runner,program
5079,FreeRice,91784,30027,2,30027,Telework Contract,shaper,runner,resource
5079,FreeRice,91784,30030,3,30030,Sure Gamble,neutral-runner,runner,event
5079,FreeRice,91784,30032,3,30032,Mayfly,neutral-runner,runner,program
5079,FreeRice,91784,33013,2,33013,Pinhole Threading,criminal,runner,event
5079,FreeRice,91784,33071,1,33071,Hush,anarch,runner,program
5079,FreeRice,91784,33088,3,33088,Nanuq,shaper,runner,program
5079,FreeRice,91784,33092,3,33092,Dr. Nuka Vrolyck,shaper,runner,resource
5079,FreeRice,91784,34082,1,34082,Physarum Entangler,criminal,runner,program
5079,FreeRice,91784,34085,2,34085,Burner,shaper,runner,event
5079,FreeRice,91784,34088,1,34088,Cataloguer,shaper,runner,hardware
5079,FreeRice,91784,34089,3,34089,Coalescence,shaper,runner,program
5079,FreeRice,91784,35023,1,35023,Dewi Subrotoputri: Pedagogical Dhalang,shaper,runner,identity
5079,FreeRice,91784,35025,2,35025,Illumination,shaper,runner,event
5079,FreeRice,91784,35026,3,35026,Ritual,shaper,runner,event
5079,FreeRice,91784,35029,1,35029,Azimat,shaper,runner,program
5079,FreeRice,91784,35031,1,35031,Devadatta Drone,shaper,runner,program
5079,TheOtherKT,91780,26085,3,26085,Simulchip,shaper,runner,hardware
